;liste_acteurs;nb_comedie;nb_drame
0;Patrick Baladi;1;1
1;Kathleen Case;0;1
2;Sal Lopez;1;0
3;Michael Bagall;1;0
4;Valeria Golino;11;25
5;J. Smith-Cameron;1;2
6;Stephen Strachan;1;0
7;Jordana Largy;0;2
8;Britt Irvin;1;0
9;Srdjan Miletic;0;2
10;Huck Milner;1;0
11;Branko Duric;0;3
12;Don Warrington;0;1
13;Marcos Mundstock;0;1
14;Miriam Martínez;0;1
15;Karen Maruyama;1;0
16;María Pedraza;1;1
17;Trin Miller;0;1
18;Elli Tringou;0;1
19;Bernardo Bernardo;0;1
20;Hayley Mills;7;3
21;Paula Prentiss;3;1
22;Lucien John;0;2
23;Yayu Unru;0;1
24;Michael Worth;0;1
25;Davide Gagliardi;1;0
26;Trevor Gagnon;1;0
27;Catriona Knox;0;1
28;Zuka Tsirekidze;0;1
29;Wolfango Soldati;0;2
30;Cécile Bois;1;0
31;Muriel Montossé;1;0
32;Fournez-Goffard;0;1
33;Isabella Crovetti;1;0
34;Rezo Harkhalashvili;1;0
35;Jean Luc Vincent;0;2
36;Sabrina Norris;1;0
37;Sylvia Bataille;1;0
38;Desmond Harrington;1;0
39;Pietro Genuardi;0;3
40;James Northcote;0;1
41;Lovie Simone;0;1
42;Paolo Hendel;7;2
43;Dany Robin;2;0
44;Zoey Deutch;3;1
45;Gaël Morel;0;3
46;Mauro Ursella;2;0
47;Eric Arnal;0;2
48;Linda Fiorentino;5;0
49;Justine Waddell;1;0
50;G. Adam Gifford;0;4
51;André Pousse;1;0
52;Lane Styles;0;1
53;Hu Jun;0;1
54;Domingos Sita;0;1
55;Lydia Fairén;1;0
56;Judy Morris;1;0
57;Malorie O'Neill;1;0
58;Anna Lee;0;2
59;Mariasole Mansutti;0;1
60;Hyuk Jang;1;0
61;Olivia Colman;3;5
62;Niall O'Shea;1;0
63;Gina DeAngeles;1;0
64;Jessica VanOss;0;1
65;Diane Fabian;0;1
66;Choi Hyun-jun;0;1
67;Ben Kingsley;8;15
68;Tara Morice;1;0
69;Chiara Bono;0;1
70;Scott Wilkinson;1;0
71;David Vadim;0;1
72;Alejandro Goic;0;4
73;Donna Akersten;1;0
74;Iain Quarrier;1;0
75;Jaan Rekkor;0;2
76;Jillian Armenante;1;0
77;Enoh Essien;0;2
78;Dana Ivey;1;5
79;Fernando Tejero;2;0
80;María León;1;0
