filmtv_id;actors;genre;year;nb_comedy;nb_drama
3;Kim Rossi Stuart;1;1991;0;0
3;Simona Cavallari;1;1991;0;3
3;Ennio Fantastichini;1;1991;1;5
3;Orso Maria Guerrini;1;1991;1;3
3;Silli Togni;1;1991;1;0
3;Maria Pia Calzone;1;1991;0;0
3;Luciano Curreli;1;1991;0;0
3;Francesco Maria DominedÃ²;1;1991;0;0
18;Mickey Rourke;0;1982;0;1
18;Steve Guttenberg;0;1982;0;0
18;Ellen Barkin;0;1982;0;0
18;Daniel Stern;0;1982;1;0
18;Kevin Bacon;0;1982;1;0
18;Timothy Daly;0;1982;0;0
18;Paul Reiser;0;1982;0;0
18;Kelle Kipp;0;1982;0;0
18;Colette Blonigan;0;1982;0;0
20;Eduardo De Filippo;0;1942;1;0
20;Peppino De Filippo;0;1942;1;0
20;Clelia Matania;0;1942;4;0
20;Paolo Stoppa;0;1942;4;1
20;Nario Bernardi;0;1942;0;0
20;Augusto Di Giovanni;0;1942;1;0
20;Edwige Maul;0;1942;0;0
20;Italia Marchesini;0;1942;0;0
22;Gian Maria VolontÃ©;1;1967;3;4
22;Irene Papas;1;1967;0;3
22;Gabriele Ferzetti;1;1967;12;13
22;Salvo Randone;1;1967;2;8
22;Laura Nucci;1;1967;0;0
22;Mario Scaccia;1;1967;0;1
22;Luigi Pistilli;1;1967;0;0
22;Leopoldo Trieste;1;1967;7;0
26;Christopher Walken;1;1986;1;3
26;Sean Penn;1;1986;3;2
26;Chris Penn;1;1986;1;2
26;Mary Stuart Masterson;1;1986;1;0
26;Millie Perkins;1;1986;0;4
26;Eileen Ryan;1;1986;0;0
26;Tracey Walter;1;1986;0;0
26;David Strathairn;1;1986;0;0
26;Kiefer Sutherland;1;1986;1;0
26;Candy Clark;1;1986;2;1
32;Julia Roberts;1;1990;1;1
32;Patrick Bergin;1;1990;0;0
32;Kevin Anderson;1;1990;0;3
32;Elizabeth Lawrence;1;1990;0;0
32;Kyle Secor;1;1990;1;0
32;Claudette Nevins;1;1990;1;0
32;Tony Abatemarco;1;1990;0;0
32;Marita Geraghty;1;1990;0;0
32;Harley Venton;1;1990;0;0
37;Claudia Cardinale;0;1975;12;14
37;Monica Vitti;0;1975;20;7
37;Vittorio Gassman;0;1975;39;17
37;Giancarlo Giannini;0;1975;10;7
37;Renato Pozzetto;0;1975;2;0
47;Rob Lowe;0;1986;3;2
47;Demi Moore;0;1986;2;1
47;James Belushi;0;1986;0;1
47;Elizabeth Perkins;0;1986;0;0
47;George DiCenzo;0;1986;0;0
47;Robin Thomas;0;1986;0;0
47;Megan Mullally;0;1986;0;0
49;Henry Fonda;1;1964;6;9
49;Dan O'Herlihy;1;1964;0;2
49;Walter Matthau;1;1964;1;2
49;Dom DeLuise;1;1964;0;0
49;Frank Overton;1;1964;0;2
49;Edward Binns;1;1964;0;1
49;Fritz Weaver;1;1964;0;0
49;Larry Hagman;1;1964;0;0
51;Tony Curtis;0;1959;3;5
51;Jack Lemmon;0;1959;3;0
51;Marilyn Monroe;0;1959;14;4
51;Joe E. Brown;0;1959;1;0
51;George Raft;0;1959;0;4
51;Pat O'Brien;0;1959;4;5
51;Nehemiah Persoff;0;1959;0;2
51;Joan Shawlee;0;1959;0;0
55;Rodney Dangerfield;0;1986;2;0
55;Keith Gordon;0;1986;1;0
55;Sally Kellerman;0;1986;3;1
55;Robert Downey jr.;0;1986;1;0
55;Burt Young;0;1986;2;4
55;Ned Beatty;0;1986;3;3
55;Terry Farrell;0;1986;0;0
55;Paxton Whitehead;0;1986;0;0
55;M. Emmet Walsh;0;1986;0;2
55;Adrienne Barbeau;0;1986;1;0
58;Jessica Tandy;0;1989;2;4
58;Morgan Freeman;0;1989;0;8
58;Dan Aykroyd;0;1989;11;0
58;Patty LuPone;0;1989;1;0
58;Esther Rolle;0;1989;0;0
59;Elizabeth Perkins;0;1989;4;0
59;Judge Reinhold;0;1989;6;1
59;Maurine Mueller;0;1989;0;0
59;Michael J. Pollard;0;1989;2;1
59;Jeffrey Jones;0;1989;2;0
59;Rhea Perlman;0;1989;0;0
59;Brion James;0;1989;2;0
68;Anna Magnani;0;1945;7;2
68;Nino Besozzi;0;1945;2;2
68;Virgilio Riento;0;1945;5;0
68;Lauro Gazzolo;0;1945;6;3
68;Vito Annichiarico;0;1945;0;0
68;Sandro Ruffini;0;1945;3;0
68;Marisa Vernati;0;1945;0;0
68;Aldo Silvani;0;1945;0;2
69;Anna Magnani;0;1946;8;3
69;Vittorio De Sica;0;1946;13;1
69;Virgilio Riento;0;1946;6;0
69;Galeazzo Benti;0;1946;0;1
69;Laura Gore;0;1946;0;0
69;Zora Piazza;0;1946;0;0
69;Lauro Gazzolo;0;1946;8;3
73;Jerry CalÃ ;0;1991;23;0
73;Alba Parietti;0;1991;1;0
73;Eva Grimaldi;0;1991;3;3
73;Teo Teocoli;0;1991;12;1
73;Mauro Di Francesco;0;1991;8;0
73;Salvatore Marino;0;1991;0;0
73;Franco Oppini;0;1991;3;0
73;Piermaria Cecchini;0;1991;0;0
73;Guido Nicheli;0;1991;1;0
80;Gigi Sammarchi;0;1983;1;0
80;Andrea Roncato;0;1983;1;0
80;Simona Marchini;0;1983;0;0
80;Gegia;0;1983;2;0
80;Anna Kanakis;0;1983;0;0
80;Mirella Banti;0;1983;0;0
80;Cinzia Berni;0;1983;0;0
80;Serena Grandi;0;1983;0;0
82;Paola Barbara;0;1943;1;2
82;Germana Paolieri;0;1943;2;3
82;Miguel Ligero;0;1943;0;0
82;Lauro Gazzolo;0;1943;2;3
82;Luis de Arnedillo;0;1943;0;0
82;Rafael Navarro;0;1943;0;0
82;Manuel ArbÃ³;0;1943;0;1
82;Carmen Arrojo;0;1943;0;0
83;Aldo Fabrizi;0;1955;21;7
83;Walter Chiari;0;1955;18;1
83;Alberto Sordi;0;1955;25;3
83;Peppino De Filippo;0;1955;21;0
83;Mara Berni;0;1955;0;0
83;Nino Besozzi;0;1955;3;2
83;Mario Riva;0;1955;7;1
83;Riccardo Billi;0;1955;7;1
88;Joan Fontaine;0;1950;3;3
88;Joseph Cotten;0;1950;3;7
88;FranÃ§oise Rosay;0;1950;0;0
88;Jessica Tandy;0;1950;0;3
88;Robert Arthur;0;1950;0;0
88;Jimmy Lydon;0;1950;0;0
88;Fortunio Bonanova;0;1950;2;2
89;Clark Gable;0;1934;1;2
89;Claudette Colbert;0;1934;1;1
89;Walter Connolly;0;1934;1;0
89;Roscoe Karns;0;1934;0;0
89;Jameson Thomas;0;1934;1;0
89;Alan Hale;0;1934;0;1
89;Arthur Hoyt;0;1934;0;1
89;Blanche Friderici;0;1934;0;1
92;Franco Citti;1;1961;0;0
92;Franca Pasut;1;1961;0;0
92;Adriana Asti;1;1961;0;1
92;Paola Guidi;1;1961;0;0
92;Silvana Corsini;1;1961;0;0
92;Luciano Conti;1;1961;0;0
92;Luciano Gonini;1;1961;0;0
92;Renato Capogna;1;1961;0;0
94;Valerie Dumas;1;1987;0;0
94;Marvin Sither;1;1987;0;0
94;Catherine Malard;1;1987;0;0
94;Julie Ravix;1;1987;0;0
94;Sally Nyolo;1;1987;0;0
94;Maka Kotto;1;1987;0;0
94;FranÃ§ois Maistre;1;1987;0;3
100;Gino Cervi;1;1942;2;6
100;Mariella Lotti;1;1942;1;2
100;Paolo Stoppa;1;1942;4;1
100;Vanna Vanni;1;1942;1;0
100;Carlo Lombardi;1;1942;1;0
100;Annibale Betrone;1;1942;0;1
100;Marina Doge;1;1942;1;0
100;Wanda Capodaglio;1;1942;0;0
105;Alessandro Benvenuti;0;1982;0;0
105;Francesco Nuti;0;1982;0;0
105;Athina Cenci;0;1982;0;0
105;Lucilla Baroni;0;1982;0;0
105;Riccardo Cioni;0;1982;0;0
105;Donata Genazzani;0;1982;0;0
105;Paolo Hendel;0;1982;0;0
105;Novello Novelli;0;1982;0;0
107;Susan Hayward;1;1961;1;13
107;Dean Martin;1;1961;18;1
107;Wilfrid Hyde-White;1;1961;4;1
107;Martin Balsam;1;1961;0;0
107;Ralph Meeker;1;1961;0;0
107;Frank Maxwell;1;1961;0;0
107;Connie Sawyer;1;1961;0;0
