filmtv_id;directors;genre;year;nb_comedy_real;nb_drama_real
3;Luigi Perelli;1;1991;0;0
18;Barry Levinson;0;1982;0;0
20;Esodo Pratelli;0;1942;1;1
22;Elio Petri;1;1967;1;3
26;James Foley;1;1986;0;1
32;Joseph Ruben;1;1990;0;1
37;Marcello Fondato;0;1975;4;1
47;Edward Zwick;0;1986;0;0
49;Sidney Lumet;1;1964;0;3
51;Billy Wilder;0;1959;7;4
55;Alan Metter;0;1986;1;0
58;Bruce Beresford;0;1989;0;2
59;Maurice Phillips;0;1989;0;0
68;Gennaro Righelli;0;1945;2;1
69;Gennaro Righelli;0;1946;3;1
73;Bruno Gaburro;0;1991;2;4
80;Sergio Martino;0;1983;10;1
82;JosÃ© Lopez Rubio;0;1943;0;0
82;Primo Zeglio;0;1943;0;0
83;Giorgio Bianchi;0;1955;3;3
88;William Dieterle;0;1950;2;3
89;Frank Capra;0;1934;4;2
92;Pier Paolo Pasolini;1;1961;0;0
94;Christine Allen;1;1987;0;0
100;Nunzio Malasomma;1;1942;1;1
105;Alessandro Benvenuti;0;1982;0;0
107;Daniel Mann;1;1961;1;5
108;Mario MattÃ²li;0;1949;16;7
109;Harold French;0;1949;1;0
114;Ferdinando Maria Poggioli;1;1940;0;0
115;William A. Wellman;1;1956;2;12
118;Anthony Asquith;0;1951;0;2
119;Roberto Bianchi Montero;1;1954;1;0
121;H.C. Potter;1;1950;2;0
122;Edouard Molinaro;0;1963;1;0
123;Howard Zieff;0;1984;4;0
126;Antonio Pietrangeli;1;1960;4;1
127;Ingmar Bergman;1;1971;5;18
129;Pasquale Festa Campanile;0;1966;2;2
130;Raffaello Matarazzo;0;1963;8;12
131;Jim Abrahams;0;1980;0;0
131;David Zucker;0;1980;0;0
131;Jerry Zucker;0;1980;0;0
132;Ken Blancato;0;1987;0;0
133;Ken Finkleman;0;1982;0;0
134;Costa-Gavras;1;1974;0;3
137;Jim Abrahams;0;1988;3;0
140;Richard Quine;0;1962;3;1
142;Hugh Wilson;0;1987;1;0
150;Luis BuÃ±uel;1;1930;0;0
151;Arthur Hiller;0;1990;14;3
173;Charles Chaplin;0;1916;0;0
174;Anthony Harvey;0;1984;0;2
183;Norman Jewison;1;1985;7;4
186;Carlo Lizzani;1;1953;0;0
194;Francis Schaeffer;0;1991;0;0
198;Luigi Filippo D'Amico;0;1961;2;0
199;Francesco Massaro;0;1983;4;0
202;Daniel Taradash;1;1956;0;0
208;Alex Segal;1;1963;0;1
209;Sidney J. Furie;1;1970;0;1
212;Mario Monicelli;0;1949;0;0
212;Steno;0;1949;0;0
213;William Dieterle;0;1945;1;1
214;Marco Bechis;1;1991;0;0
216;Louis Malle;1;1985;4;8
220;Marcel CarnÃ©;1;1939;1;2
224;Edward Dmytryk;1;1957;0;7
225;Mario Bonnard;0;1936;0;0
227;Alessandro Blasetti;1;1935;2;0
228;Theo Anghelopoulos;1;1980;0;2
229;Lewis Gilbert;1;1966;1;0
230;Pietro Germi;0;1972;7;7
238;Bruce Beresford;0;1989;0;2
240;Woody Allen;0;1990;16;3
241;Martin Scorsese;1;1974;0;2
248;Peter Yates;0;1979;3;0
254;Jim McBride;1;1983;0;0
256;Charles Chaplin;0;1916;0;0
266;George Roy Hill;0;1988;5;1
267;James W. Horne;0;1935;1;0
269;Malcolm St. Clair;0;1943;0;0
270;Amleto Palermi;0;1941;4;2
272;Paolo Moffa;0;1954;0;0
273;Jean-Luc Godard;1;1991;5;16
274;Sergio Martino;0;1984;12;1
276;Jiri Menzel;1;1969;0;1
278;Adrian Lyne;1;1990;0;3
280;Franco Rossi;0;1964;1;2
280;Elio Petri;0;1964;0;3
280;Luciano Salce;0;1964;5;0
280;Mario Monicelli;0;1964;16;3
288;Terence Ryan;1;1988;0;0
289;Woody Allen;1;1988;14;2
290;Franco Prosperi;0;1973;1;1
293;Carlo Mazzacurati;1;1992;0;2
299;Charles Vidor;1;1955;1;4
300;Jean-Jacques Annaud;1;1992;1;0
302;Georges Franju;1;1970;0;1
303;Gordon Douglas;1;1952;3;1
305;Just Jaeckin;1;1981;0;0
307;RenÃ© ClÃ©ment;1;1950;0;1
308;Maurice Pialat;1;1972;0;0
311;Claude Sautet;1;1970;0;0
314;Bernard Queysanne;1;1977;0;0
318;Martin Gabel;1;1947;0;0
320;Cy Howard;0;1974;0;0
322;Mario Costa;0;1965;1;5
327;Carlo Vanzina;0;1985;10;0
329;Howard Hawks;1;1936;1;5
329;William Wyler;1;1936;0;0
330;Richard Eyre;1;1983;0;0
332;Martin Scorsese;1;1972;0;0
334;Noel Black;0;1983;0;0
337;Paul Schrader;1;1980;0;1
338;George Lucas;0;1973;0;0
339;Bill L. Norton;0;1979;0;0
342;Steno;0;1954;11;1
344;Alessandro D'Alatri;0;1991;0;0
345;Joseph L. Mankiewicz;1;1957;4;5
346;Alberto Lattuada;1;1969;7;11
348;Vincente Minnelli;0;1970;11;7
350;Michelangelo Antonioni;1;1955;0;3
351;Norman Jewison;0;1982;6;3
352;Paul Bogart;1;1988;2;0
355;Giorgio Simonelli;0;1976;30;2
355;Marino Girolami;0;1976;26;2
355;Gianni Grimaldi;0;1976;9;0
356;Lamont Johnson;1;1982;1;4
357;Wim Wenders;1;1977;0;5
358;Eric Rohmer;0;1987;10;3
359;Claude Chabrol;1;1972;2;9
361;Jack Conway;0;1938;2;1
363;JosÃ© Giovanni;1;1988;0;1
367;Franco Zeffirelli;1;1991;2;4
372;David Greenwalt;0;1985;0;0
377;Roberto Rossellini;1;1948;0;3
378;Dino Risi;1;1960;10;0
380;Stan Dragoti;0;1979;0;0
383;Romano Scavolini;1;1969;0;1
384;Jack Bender;0;1992;0;0
386;Dorian Walker;0;1989;1;0
387;Volker SchlÃ¶ndorff;1;1983;0;3
388;Alberto Bonucci;0;1962;0;0
388;Luciano Lucignani;0;1962;0;0
388;Sergio Sollima;0;1962;0;0
388;Nino Manfredi;0;1962;0;0
389;Alessandro Blasetti;0;1957;8;5
391;Angelo Dorigo;0;1958;0;0
395;Gianni Puccini;0;1964;7;0
398;Salvatore Samperi;0;1980;5;6
399;Jacques Romain;0;1964;0;0
399;Massimo Mida;0;1964;0;0
399;Gianni Puccini;0;1964;7;0
399;Mino Guerrini;0;1964;0;0
402;Alberto Sordi;0;1970;3;0
404;Rod Holcomb;1;1992;1;0
407;Alan Rudolph;0;1990;1;2
409;Luigi Scattini;0;1966;1;0
414;Michael Curtiz;0;1948;0;6
422;Mario Costa;1;1954;0;2
423;Glauco Pellegrini;0;1954;0;0
423;Antonio Pietrangeli;0;1954;0;1
423;Mario Chiari;0;1954;0;0
423;Pietro Germi;0;1954;1;5
423;Roberto Rossellini;0;1954;1;8
424;Giuseppe Bertolucci;0;1989;2;4
425;Steno;0;1978;50;1
428;Vincent McEveety;1;1981;7;0
429;Anatole Litvak;0;1956;0;5
430;Otto Preminger;1;1959;4;6
431;Luciano Salce;0;1975;19;0
432;E.B. Clucher (Enzo Barboni);0;1973;0;0
434;Flavio Mogherini;0;1972;0;0
436;Robert Greenwald;0;1988;0;1
437;Stanley Donen;0;1960;5;0
439;Andrei Tarkovsky;1;1969;0;3
440;Nelo Risi;1;1966;0;0
449;Anna Brasi;0;1988;0;0
450;Frank Capra;0;1961;13;2
451;Richard Rush;1;1967;0;0
452;Richard T. Heffron;1;1988;0;1
458;Rodrigo Castano;1;1986;0;0
461;Josef Von Sternberg;1;1930;0;2
462;Raffaello Matarazzo;1;1955;7;8
484;Carlo Ludovico Bragaglia;0;1939;1;0
485;Edward Dmytryk;1;1946;0;5
486;Arthur Hiller;0;1984;11;2
490;Edward Dmytryk;1;1962;0;8
493;Arthur Penn;1;1962;0;0
494;John Cromwell;1;1946;3;7
495;Julien Duvivier;1;1947;0;5
496;Clarence Brown;1;1935;1;3
498;John Boorman;1;1987;1;1
